object_id,ra,dec,flux_y_sersic,flux_j_sersic,flux_h_sersic,spe_class,spe_qso_prob,spe_z
-534904016281865253,53.49040168509885,-28.18652531378543,10.122685,10.77218,12.214505,qso,1,1.7218456
-535193683281796391,53.51936830469793,-28.17963910732538,10.519636,16.209045,24.615025,qso,1,6.0168204
-535451782281636850,53.54517822928428,-28.16368501576514,7.4354467,10.855329,16.161814,qso,1,6.9829674
-535200644281633559,53.52006440379235,-28.16335599245971,8.896488,13.006345,17.51013,qso,1,5.1737733
-535128374281573494,53.51283740413504,-28.15734946835399,11.268661,13.387283,12.936019,qso,1,6.023841
-534422134281589399,53.4422134238481,-28.15893995707868,13.349844,19.229563,25.677696,qso,1,7.1442337
-536040421281516546,53.60404217271151,-28.15165465689001,2.8582125,3.8964384,4.4104724,qso,1,7.392263
-536037242281503647,53.60372429408163,-28.15036477423412,38.1501,45.115894,46.131523,qso,1,7.014963
-532805687281513992,53.28056877962808,-28.15139928311507,5.0984726,5.7559404,5.61383,qso,1,4.614262
-534330427281449565,53.43304270616684,-28.14495657731751,4.005197,5.002474,6.3262835,qso,1,4.6086507
-533576737281333515,53.35767374014767,-28.13335150806832,32.286484,44.175884,61.13974,qso,1,6.9114428
-535624818281301039,53.56248182405871,-28.13010390671748,5.4519196,7.1280127,8.801213,qso,1,7.4766064
-535260198281293921,53.52601981142911,-28.12939210159372,43.428658,55.294914,77.99079,qso,1,6.3324537
-535179552281121096,53.5179552508529,-28.11210960543388,2.305009,4.68462,7.2876487,qso,1,7.7697663
-535169867281152635,53.51698675085996,-28.11526356730609,3.651351,5.690057,7.439699,qso,1,5.0273666
-534887374281117158,53.48873740683108,-28.1117158865218,4.4847617,6.140517,7.435472,qso,1,5.0273666
-534422924281145605,53.44229245670662,-28.11456053983381,29.274014,46.948032,72.291115,qso,1,6.1442666
-534156796281098190,53.41567962814107,-28.10981900119598,3.1801255,4.338304,6.014747,qso,1,7.1523824
-534988268280987187,53.49882682657304,-28.09871871412937,3.0891714,3.8287327,4.46194,qso,1,7.047087
-533640852280961202,53.36408523605282,-28.09612020700638,5.3716154,5.9882855,6.929459,qso,1,1.4044235
-535665502280931052,53.56655023614525,-28.09310523366323,9.90848,13.994566,18.63707,qso,1,7.6564975
-535045259280941321,53.50452595453606,-28.09413219027338,1.8413159,3.1047573,4.429873,qso,1,7.991774
-534935990280833200,53.4935990385238,-28.08332000388883,3.1783104,5.6629677,8.188864,qso,1,5.877878
-535626229280804415,53.56262290001012,-28.08044157307118,13.449563,18.356747,25.976286,qso,1,6.533127
-534810805280790415,53.48108055626787,-28.07904156030948,8.927486,10.010143,10.776705,qso,1,5.229588
-534532628280757965,53.45326281715557,-28.07579653924742,5.532772,6.47599,5.9849386,qso,1,1.8019348
-535683910280597215,53.56839107374994,-28.05972153653508,4.869909,5.828978,6.696057,qso,1,6.525597
-533945444280590465,53.39454444611874,-28.05904651991317,23.962566,28.517384,32.265766,qso,1,7.991774
-536448537280469078,53.64485374623258,-28.04690780665516,4.5736456,6.9151382,10.116048,qso,1,1.8357606
-532826661280490577,53.28266614086861,-28.04905777142297,20.909676,31.246399,45.746838,qso,1,6.480579
-536842356280317703,53.68423563809299,-28.03177037357509,4.0105867,6.1489778,9.027608,qso,1,1.7218456
-536890694280227117,53.68906945306633,-28.02271176187697,3.260186,4.5866632,6.1817527,qso,1,6.0519924
